subdir,video_file,duration,width,height,frame_rate,file_size
أب,5865954354489463589.mp4,2.375766666666667,720.0,1280.0,25.255005401765043,1026810
أب,5865954354489463589_center_cropped.mp4,2.4,720.0,1280.0,25.0,1197041
أب,5865954354489463589_expanded.mp4,2.4,720.0,1280.0,25.0,804820
أب,5865954354489463589_flipped.mp4,2.4,720.0,1280.0,25.0,1239202
أب,5865954354489463589_sheared.mp4,2.4,720.0,1280.0,25.0,1152453
أب,5865954354489463589_top_cropped.mp4,2.4,720.0,1280.0,25.0,1184681
أب,5866070632139068682.mp4,2.2277555555555555,720.0,1280.0,22.444114155752178,495004
أب,5866070632139068767.mp4,1.8400444444444444,720.0,1280.0,22.825535615081762,625824
أب,5866070632139068856.mp4,2.3533444444444442,720.0,1280.0,22.09621295461306,917876
أب,5866326414621414116.mp4,1.4786222222222223,720.0,1280.0,29.757431843457873,515020
أب,5866326414621414116_center_cropped.mp4,1.4864864864864864,720.0,1280.0,29.6,450315
أب,5866326414621414116_expanded.mp4,1.4864864864864864,720.0,1280.0,29.6,283289
أب,5866326414621414116_flipped.mp4,1.4864864864864864,720.0,1280.0,29.6,441668
أب,5866326414621414116_sheared.mp4,1.4864864864864864,720.0,1280.0,29.6,395444
أب,5866326414621414116_top_cropped.mp4,1.4864864864864864,720.0,1280.0,29.6,395196
أب,5866326414621414139.mp4,2.704422222222222,720.0,1280.0,29.95094454350488,927875
أب,5866326414621414139_center_cropped.mp4,2.7383367139959436,720.0,1280.0,29.58,807569
أب,5866326414621414139_expanded.mp4,2.7383367139959436,720.0,1280.0,29.58,501852
أب,5866326414621414139_flipped.mp4,2.7383367139959436,720.0,1280.0,29.58,781919
أب,5866326414621414139_sheared.mp4,2.7383367139959436,720.0,1280.0,29.58,712439
أب,5866326414621414139_top_cropped.mp4,2.7383367139959436,720.0,1280.0,29.58,696316
أب,5866326414621414232.mp4,2.074822222222222,720.0,1280.0,29.882078250345412,733099
أب,5866326414621414232_center_cropped.mp4,2.0945945945945943,720.0,1280.0,29.6,1324192
أب,5866326414621414232_expanded.mp4,2.0945945945945943,720.0,1280.0,29.6,943019
أب,5866326414621414232_flipped.mp4,2.0945945945945943,720.0,1280.0,29.6,1337034
أب,5866326414621414232_sheared.mp4,2.0945945945945943,720.0,1280.0,29.6,1133245
أب,5866326414621414232_top_cropped.mp4,2.0945945945945943,720.0,1280.0,29.6,916087
أب,5866326414621414311.mp4,2.6530444444444443,720.0,1280.0,29.77711141079012,917094
أب,5866326414621414311_center_cropped.mp4,2.6707234617985125,720.0,1280.0,29.58,2409790
أب,5866326414621414311_expanded.mp4,2.6707234617985125,720.0,1280.0,29.58,2020165
أب,5866326414621414311_flipped.mp4,2.6707234617985125,720.0,1280.0,29.58,2895648
أب,5866326414621414311_sheared.mp4,2.6707234617985125,720.0,1280.0,29.58,2410624
أب,5866326414621414311_top_cropped.mp4,2.6707234617985125,720.0,1280.0,29.58,1593313
أب,video_2024-06-20_06-42-40 (15).mp4,2.3731555555555555,576.0,1280.0,29.496591504981648,391909
أب,video_2024-06-20_06-42-40 (15)_center_cropped.mp4,2.3728813559322033,576.0,1280.0,29.5,833402
أب,video_2024-06-20_06-42-40 (15)_expanded.mp4,2.3728813559322033,576.0,1280.0,29.5,491715
أب,video_2024-06-20_06-42-40 (15)_flipped.mp4,2.3728813559322033,576.0,1280.0,29.5,745966
أب,video_2024-06-20_06-42-40 (15)_sheared.mp4,2.3728813559322033,576.0,1280.0,29.5,684181
أب,video_2024-06-20_06-42-40 (15)_top_cropped.mp4,2.3728813559322033,576.0,1280.0,29.5,735880
أب,video_2024-06-20_06-42-40 (32).mp4,2.1994666666666665,576.0,1280.0,28.643307468477207,374588
أب,video_2024-06-20_06-42-40 (32)_center_cropped.mp4,2.231237322515213,576.0,1280.0,29.58,878884
أب,video_2024-06-20_06-42-40 (32)_expanded.mp4,2.231237322515213,576.0,1280.0,29.58,542126
أب,video_2024-06-20_06-42-40 (32)_flipped.mp4,2.231237322515213,576.0,1280.0,29.58,795899
أب,video_2024-06-20_06-42-40 (32)_sheared.mp4,2.231237322515213,576.0,1280.0,29.58,675979
أب,video_2024-06-20_06-42-40 (32)_top_cropped.mp4,2.231237322515213,576.0,1280.0,29.58,685166
أب,VID_20240427_123008.mp4,2.5997222222222223,1080.0,1920.0,30.387861951063147,5814730
أب,VID_20240427_123008_center_cropped.mp4,2.6666666666666665,1920.0,1080.0,30.0,8302632
أب,VID_20240427_123008_expanded.mp4,2.6666666666666665,1920.0,1080.0,30.0,5324047
أب,VID_20240427_123008_flipped.mp4,2.6666666666666665,1920.0,1080.0,30.0,9318909
أب,VID_20240427_123008_sheared.mp4,2.6666666666666665,1920.0,1080.0,30.0,9020505
أب,VID_20240427_123008_top_cropped.mp4,2.6666666666666665,1920.0,1080.0,30.0,4285118
أب,VID_20240427_131140.mp4,2.1997999999999998,1080.0,1920.0,30.45731430130012,4907230
أب,VID_20240427_131140_center_cropped.mp4,2.3,1920.0,1080.0,30.0,5168089
أب,VID_20240427_131140_expanded.mp4,2.3,1920.0,1080.0,30.0,3963078
أب,VID_20240427_131140_flipped.mp4,2.3,1920.0,1080.0,30.0,7403907
أب,VID_20240427_131140_sheared.mp4,2.3,1920.0,1080.0,30.0,6960767
أب,VID_20240427_131140_top_cropped.mp4,2.3,1920.0,1080.0,30.0,1474667
أب,VID_20240427_140043.mp4,1.9998333333333334,1080.0,1920.0,30.502541878489875,4097924
أب,VID_20240427_140043_center_cropped.mp4,2.1,1920.0,1080.0,30.0,1421940
أب,VID_20240427_140043_expanded.mp4,2.1,1920.0,1080.0,30.0,915884
أب,VID_20240427_140043_flipped.mp4,2.1,1920.0,1080.0,30.0,1604412
أب,VID_20240427_140043_sheared.mp4,2.1,1920.0,1080.0,30.0,1516923
أب,VID_20240427_140043_top_cropped.mp4,2.1,1920.0,1080.0,30.0,1072542
أب,VID_20240427_142723.mp4,1.8332,1080.0,1920.0,30.547676194632338,4120271
أب,VID_20240427_142723_center_cropped.mp4,1.9333333333333333,1920.0,1080.0,30.0,1892358
أب,VID_20240427_142723_expanded.mp4,1.9333333333333333,1920.0,1080.0,30.0,1065357
أب,VID_20240427_142723_flipped.mp4,1.9333333333333333,1920.0,1080.0,30.0,1859783
أب,VID_20240427_142723_sheared.mp4,1.9333333333333333,1920.0,1080.0,30.0,1785974
أب,VID_20240427_142723_top_cropped.mp4,1.9333333333333333,1920.0,1080.0,30.0,1435056
أب,VID_20240428_134829.mp4,1.9998333333333334,1080.0,1920.0,30.502541878489875,5110611
أب,VID_20240428_134829_center_cropped.mp4,2.1,1920.0,1080.0,30.0,2168712
أب,VID_20240428_134829_expanded.mp4,2.1,1920.0,1080.0,30.0,1118221
أب,VID_20240428_134829_flipped.mp4,2.1,1920.0,1080.0,30.0,1975375
أب,VID_20240428_134829_sheared.mp4,2.1,1920.0,1080.0,30.0,1919374
أب,VID_20240428_134829_top_cropped.mp4,2.1,1920.0,1080.0,30.0,1606449
أب,اب (2).mp4,1.9998333333333334,1080.0,1920.0,30.502541878489875,4090439
أب,اب (2)_center_cropped.mp4,2.1,1920.0,1080.0,30.0,1551070
أب,اب (2)_expanded.mp4,2.1,1920.0,1080.0,30.0,967151
أب,اب (2)_flipped.mp4,2.1,1920.0,1080.0,30.0,1759495
أب,اب (2)_sheared.mp4,2.1,1920.0,1080.0,30.0,1683234
أب,اب (2)_top_cropped.mp4,2.1,1920.0,1080.0,30.0,1061664
أب,اب.mp4,2.2160555555555552,720.0,1280.0,25.270124595753217,969115
أب,اب_center_cropped.mp4,2.28,720.0,1280.0,25.0,2077055
أب,اب_expanded.mp4,2.28,720.0,1280.0,25.0,1267065
أب,اب_flipped.mp4,2.28,720.0,1280.0,25.0,1941805
أب,اب_sheared.mp4,2.28,720.0,1280.0,25.0,1805342
أب,اب_top_cropped.mp4,2.28,720.0,1280.0,25.0,1422177
إمراة,5865954354489463586.mp4,2.6900999999999997,720.0,1280.0,25.27787071112598,1137864
إمراة,5865954354489463586_center_cropped.mp4,2.72,720.0,1280.0,25.0,1295889
إمراة,5865954354489463586_expanded.mp4,2.72,720.0,1280.0,25.0,865338
إمراة,5865954354489463586_flipped.mp4,2.72,720.0,1280.0,25.0,1323137
إمراة,5865954354489463586_sheared.mp4,2.72,720.0,1280.0,25.0,1230433
إمراة,5865954354489463586_top_cropped.mp4,2.72,720.0,1280.0,25.0,1267878
